1363   HVC  10 02.4  -73 13    264    66    17     38    0.4    0.2   50       0.24    0.06   0.06       15.5
1632   HVC  22 14.9  -73 53     96   -22   -57     32    0.8    0.4  -70       0.35    0.12   0.08       14.2
1671   HVC  17 54.4  -73 31    134     3   -52     43    0.4    0.3   40       1.09    0.16   0.13       54.7
1677   HVC  18 20.3  -73 27     98   -29   -82     48    0.6    0.6  -80       2.78    0.12   0.11      133.6
1278   HVC  06 49.1  -72 17    181   -12   -44     35    0.4    0.3  -60       0.76    0.25   0.16       49.9
1281   HVC  06 14.4  -72 37     85  -103  -133     32    0.2    0.1  -80       0.12    0.12   0.07        6.0
1282  :HVC  07 13.0  -72 03     90  -106  -140     31    0.2    0.2  -60       0.18    0.10   0.04        3.6
1294   HVC  05 10.9  -72 28    124   -54   -80     41    0.4    0.3  -50       2.94    0.38   0.27      192.3
1295   HVC  05 29.2  -72 58    130   -51   -79     31    0.3    0.2    0       0.40    0.15   0.09       12.7
1310   HVC  04 25.0  -72 08    134   -36   -60     81    0.4    0.2  -30       2.15    0.26   0.18      124.2
1333  CHVC  09 09.0  -72 07    289    88    43     47    0.2    0.2   20       0.91    0.44   0.34       78.2
1339   HVC  09 17.1  -72 16    316   115    69     37    0.5    0.5  -60       0.23    0.10   0.07       10.5
1369   HVC  10 16.6  -72 21    134   -65  -115     34    0.4    0.2  -90       0.58    0.15   0.09       19.4
1396   HVC  10 49.1  -72 43    120   -77  -130     33    0.2    0.2   10       0.80    0.31   0.21       46.6
1397  CHVC  10 50.9  -72 22    271    74    20     37    0.2    0.2    0       0.22    0.12   0.08       10.0
1464   HVC  12 02.6  -72 09    333   144    85     28    0.3    0.2   20       0.10    0.05   0.03        2.7
1474   HVC  12 18.0  -72 52    220    34   -25     26    0.3    0.2  -40       0.21    0.06   0.03        6.9
1553   HVC  14 02.8  -72 09    294   124    61     28    0.4    0.2   10       0.76    0.20   0.11       30.7
1555   HVC  14 10.5  -72 43    169     0   -62     34    0.3    0.2   10       0.26    0.08   0.05        8.1
1561  CHVC  23 50.2  -72 21     91   -31   -57     33    0.3    0.2   60       0.70    0.21   0.14       32.1
1575  CHVC  14 29.7  -72 01    232    67     4     33    0.5    0.2   30       0.49    0.12   0.07       17.6
1645  CHVC  16 22.3  -72 59    190    46   -14     33    0.3    0.3  -10       0.53    0.15   0.09       21.4
1688   HVC  18 48.1  -72 44    142    20   -31     44    0.4    0.2   10       0.14    0.05   0.04        6.9
1689   HVC  18 31.7  -72 34    129     6   -47     38    0.3    0.2   20       0.47    0.08   0.06       34.6
1253   HVC  06 05.1  -71 05    159   -29   -57     34    0.2    0.2   40       0.75    0.23   0.14       37.4
1266   HVC  07 14.3  -71 07    180   -17   -50     29    0.6    0.4  -10       4.87    0.56   0.31      382.4
1272   HVC  07 29.2  -71 06    182   -17   -52     31    0.4    0.1  -40       0.16    0.06   0.04        5.3
1307   HVC  08 15.1  -71 47    298    98    58     49    0.2    0.2  -50       0.57    0.14   0.12       30.7
1315   HVC  08 34.1  -71 55    353   152   111     32    0.2    0.2   90       0.12    0.08   0.05        5.5
1316   HVC  08 39.0  -71 46    296    95    53     36    0.1    0.1   10       0.09    0.10   0.07        5.1
1322   HVC  08 45.0  -71 55    224    23   -20     35    0.2    0.2  -30       0.16    0.08   0.05        5.6
1337   HVC  09 27.8  -71 09    222    20   -27     32    0.2    0.1   80       0.29    0.12   0.08       14.1
1496   HVC  12 51.0  -71 28    294   111    50     35    0.3    0.2   30       0.66    0.29   0.19       40.7
1536   HVC  13 37.8  -71 02    275   101    38     34    0.2    0.1  -50       0.69    0.20   0.13       31.8
1549   HVC  13 51.9  -71 01    251    79    16     28    0.2    0.1   80       0.15    0.11   0.06        4.8
1573   HVC  23 47.0  -71 28    242   123    97     45    0.4    0.2  -60       0.51    0.12   0.10       24.1
1595   HVC  23 27.1  -71 26    253   136   110     38    0.2    0.2   60       0.09    0.06   0.04        5.3
1657   HVC  16 27.5  -71 40     99   -42  -103     47    0.5    0.2  -10       2.30    0.40   0.33      157.2
1686   HVC  17 44.2  -71 25     91   -36   -92     31    0.3    0.2   80       0.39    0.09   0.05       12.5
1238   HVC  06 12.8  -70 20    154   -36   -64     37    0.2    0.1    0       0.70    0.13   0.08       27.1
1241   HVC  06 49.3  -70 20    181   -14   -45     44    1.6    1.4   90       0.75    0.11   0.09       31.1
1245   HVC  06 54.3  -70 22    325   130    99     35    0.3    0.3    0       0.65    0.12   0.09       29.6
1250   HVC  05 47.8  -70 57    106   -80  -106     31    0.5    0.2   70       0.63    0.14   0.09       20.1
1252   HVC  05 30.6  -70 51    100   -82  -107     75    0.3    0.3  -10       0.78    0.13   0.12       34.0
1255   HVC  07 25.5  -70 16    186   -13   -47     32    0.2    0.2  -60       0.20    0.10   0.06        7.5
